Depth1 (모듈),Depth2 (화면/페이지),Depth3 (섹션),Depth4 (기능 단위),Depth5 (세부 항목),Action,진입 경로,비고
,,,,예약 건수,조회,,
,,,,평균 성공률,조회,,(진행 중 + 완료 + 실패) 건 성공률 평균
,,배포 목록,필터,진행 중 / 완료 / 실패 / 예약,조회,,
,,,배포 항목,앱 유형,조회,,
,,,,버전,조회,,
,,,,대상 단말 수,조회,,
,,,,배포 상태,조회,,진행 중 / 완료 / 실패 / 예약
,,,,배포 시작 시간,조회,,yyyy-mm-dd hh:mm
,,,,배포 완료 시간,조회,,완료 / 실패 건에 제공
,,,,성공률 (%),조회,,"성공 단말 수 / 전체 배포 대상 수 × 100
30% 이하 시 실패 판단"
,,배포 세부정보 패널,헤더,앱 유형,조회,배포 항목 클릭 시 패널/모달,
,,,,버전,조회,,
,,,,배포 상태,조회,,
,,,OTA 기본 정보,배포 대상 수,조회,,
,,,,배포 시작 시간,조회,,
,,,,배포 종료 시간,조회,,완료 / 실패 건에 제공
,,,,배포 취소 버튼,실행,,예약 건에만 제공
,,,배포 결과 현황,전체 배포 대상 수 / 성공률,조회,,예약 건은 제공하지 않음
,,,,배포 성공 단말 수,조회,,
,,,,배포 실패 단말 수,조회,,
,,,,배포 대기 단말 수,조회,,
,,,배포 상태별 단말 리스트,정류장명 (정류장 코드),조회,,
,,,,단말 ID,조회,,
,,,,배포 상태,조회,,
,원격 제어,현황 요약,요청 건수 요약,전체 요청 건수,조회,사이드바 > 원격 관리 > 원격 제어,
,,,,실행 대기 건수,조회,,
,,,,실행 중 건수,조회,,
,,,,성공 건수,조회,,
,,,,실패 건수,조회,,
,,,,위험 명령 건수,조회,,위험 명령 정의 및 승인 프로세스 확인 필요
,,제어 요청,제어 대상 선택,고객사,실행,,
,,,,지역 (고객사 하위),실행,,
,,,,그룹 (지역 하위),실행,,
,,,,단말 (그룹 하위),실행,,
,,,제어 항목 선택,전원 사이클,실행,,
,,,,앱 재시작,실행,,
,,,,단말 재부팅,실행,,
,,,,화면 전체 갱신,실행,,
,,,,스크린샷,실행,,
,,,액션 버튼,제어 실행 버튼,실행,,
,,,,취소 버튼,실행,,
,,제어 로그 목록- 요청 단위,필터,명령어 유형,조회,,
,,,,수행 상태 필터,조회,,요청 중 / 요청 실패 / 수행 실패 / 수행 성공
,,,,날짜 범위,조회,,
,,,,요청자,조회,,
,,,로그 목록,명령 ID,조회,,
,,,,명령어,조회,,앱 재시작 / 단말 재부팅 / 화면 전체 갱신 / 전원 사이클 / 스크린샷
,,,,제어 대상,조회,,첫 정류장명 + 외 n개소 (안 A) · 1개소일 경우 단말 ID 병기
,,,,요청자,조회,,
,,,,요청 일시,조회,,
,,,,수행 성공 / 수행 실패 / 요청 실패 수,조회,,
,,,,진행률 바,조회,,수행 성공/실패 비율 시각화
,,,,전체 수행 상태,조회,,완료 / 진행 중 / 부분 실패 (명령 단위 집계)
,,,드릴다운 패널 — 요청 요약,제어 항목 명,조회,제어 로그 행 클릭 시 우측 패널,
,,,,수행 성공 수,조회,,
,,,,수행 실패 수,조회,,
,,,,요청 실패 수,조회,,단말이 명령을 가져가지 못한 건수
,,,,요청 중 수,조회,,
,,,,요청자,조회,,
,,,,요청 일시,조회,,
,,,,대상 단말 수,조회,,
,,,드릴다운 패널 — 단말별 결과,단말 ID,조회,,
,,,,정류장명,조회,,
,,,,고객사명,조회,,
,,,,수행 상태,조회,,"요청 중 / 요청 실패 / 수행 실패 / 수행 성공
 · 요청 실패: 단말이 명령을 가져가지 못함
 · 수행 실패: 전달됐으나 실행 실패
 · 수행 성공: 전달 및 실행 모두 성공"
,,,,실행 당시 상태,조회,,"수행 실패 건에만 표시 · 요청 실패(미전달) 시 미표시
 ※ 요청 실패 시 단말 상태 표시 없음 — 구조상 조회 불가"
,,,,실패 사유 요약,조회,,수행 실패 건에만 표시 · deviceResponse 또는 timeline 최종 이벤트 note 기반
,,,단말 상세 모달,단말 ID,조회,드릴다운 패널 단말 클릭 시 모달,
,,,,정류장명,조회,,
,,,,고객사명,조회,,
,,,,수행 상태 레이블,조회,,"요청 중 / 요청 실패 / 수행 실패 / 수행 성공
 · 요청 실패: 단말이 명령을 가져가지 못함
 · 수행 실패: 전달됐으나 실행 실패
 · 수행 성공: 전달 및 실행 모두 성공"
,,,단말 상세 모달 — 실패 원인 분석,결과 코드 (resultCode),조회,,수행 실패 건에만 표시 · 0x0000 성공 / 0xE001 수행 실패 / 0xT001 시간 초과
,,,,장치 응답 (deviceResponse),조회,,raw 오류 메시지 · 없을 경우 미표시
,,,,타임라인 최종 이벤트 note,조회,,FAILED / TIMEOUT 이벤트의 note 값 · 사람이 읽을 수 있는 실패 맥락
,,,단말 상세 모달 — 단말 상태,실행 당시 단말 운영 상태,조회,,수행 실패 건에만 표시 · 요청 실패(미전달) 시 미표시 · 명령 수신 시점 기준 (amber 강조)
,,,,현재 단말 운영 상태,조회,,실시간 · 실행 후 상태 변경 여부 함께 표시
,,,단말 상세 모달 — 실행 시간,실행 시작 시간,조회,,
,,,,실행 완료 시간,조회,,
